plastic_type,microorganism,degradation_rate,days,temperature,pH
Polyurethane,Aspergillus niger,17,280,10,8
Polypropylene,Pseudomonas aeruginosa,22,125,16,8
Polypropylene,Streptomyces coelicolor,53,192,27,8
Polyvinyl Chloride,Thermobifida fusca,29,80,32,6
Polyethylene,Exiguobacterium sp.,97,94,37,5
Polycarbonate,Streptomyces coelicolor,57,226,40,7
Nylon,Bacillus subtilis,67,65,32,5
Polyvinyl Chloride,Sulfolobus acidocaldarius,66,88,24,7
Polyethylene Terephthalate (PET),Ideonella sakaiensis,70,88,35,6
Polystyrene,Thermobifida fusca,17,201,39,6
Polyethylene,Ochrobactrum sp.,6,214,34,9
Polyethylene,Ideonella sakaiensis,39,204,22,9
Polyethylene,Thermobifida fusca,69,89,25,6
Polypropylene,Alcanivorax borkumensis,85,61,16,6
Polyethylene Terephthalate (PET),Bacillus alcalophilus,64,271,25,7
Polyethylene,Exiguobacterium sp.,67,94,22,6
Polyethylene Terephthalate (PET),Ideonella sakaiensis,48,307,23,5
Polyurethane,Exiguobacterium sp.,51,27,26,7
Polyethylene,Bacillus subtilis,28,214,21,6
Polystyrene,Streptomyces coelicolor,20,74,38,7
Polyethylene Terephthalate (PET),Exiguobacterium sp.,89,61,33,7
Polyethylene Terephthalate (PET),Citrobacter koseri,77,186,33,8
Polystyrene,Citrobacter koseri,8,31,29,9
Polyethylene,Ochrobactrum sp.,46,219,22,7
Polystyrene,Sulfolobus acidocaldarius,75,12,33,7
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,41,302,29,8
Polystyrene,Bacillus alcalophilus,50,32,24,6
Polyethylene Terephthalate (PET),Fusarium solani,55,160,33,7
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,50,237,30,8
Polyurethane,Streptomyces coelicolor,69,227,13,5
Nylon,Pseudomonas aeruginosa,19,181,31,8
Polyethylene Terephthalate (PET),Ochrobactrum sp.,87,317,11,9
Polyethylene,Fusarium solani,26,46,37,9
Polyvinyl Chloride,Ochrobactrum sp.,37,341,27,6
Polypropylene,Thermobifida fusca,71,80,11,6
Polycarbonate,Streptomyces coelicolor,64,135,34,9
Nylon,Streptomyces coelicolor,53,260,24,9
Nylon,Bacillus alcalophilus,23,308,39,7
Nylon,Pseudomonas aeruginosa,46,247,35,9
Polyurethane,Citrobacter koseri,70,159,28,6
Polyethylene Terephthalate (PET),Aspergillus niger,82,203,24,9
Polyurethane,Pseudomonas aeruginosa,85,112,35,6
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,62,292,29,5
Polyethylene,Ochrobactrum sp.,56,310,19,9
Polyurethane,Alcanivorax borkumensis,54,119,37,6
Polyurethane,Streptomyces coelicolor,59,17,33,8
Polypropylene,Aspergillus niger,98,331,29,7
Polyvinyl Chloride,Halomonas titanicae,61,227,20,6
Polyurethane,Fusarium solani,29,361,35,9
Polypropylene,Sulfolobus acidocaldarius,92,117,19,9
Polystyrene,Aspergillus niger,21,43,38,5
Polyvinyl Chloride,Thermobifida fusca,74,115,32,8
Polyethylene,Sulfolobus acidocaldarius,83,283,14,6
Polyurethane,Ideonella sakaiensis,28,37,18,8
Polycarbonate,Pseudomonas aeruginosa,40,302,29,5
Nylon,Pseudomonas aeruginosa,41,113,28,7
Polystyrene,Sulfolobus acidocaldarius,97,35,22,8
Polystyrene,Acidithiobacillus ferrooxidans,64,132,27,5
Polyethylene,Fusarium solani,30,336,26,6
Polypropylene,Thermobifida fusca,29,336,36,7
Polystyrene,Aspergillus niger,17,228,15,9
Polyvinyl Chloride,Halomonas titanicae,16,147,19,5
Polyurethane,Streptomyces coelicolor,37,122,11,9
Polyurethane,Bacillus alcalophilus,13,81,33,7
Polycarbonate,Thermobifida fusca,86,173,15,5
Polyethylene,Pseudomonas aeruginosa,88,154,37,5
Nylon,Alcanivorax borkumensis,78,150,37,7
Polypropylene,Fusarium solani,55,58,30,6
Nylon,Bacillus alcalophilus,21,63,22,5
Polystyrene,Ochrobactrum sp.,66,156,27,7
Polyethylene,Ochrobactrum sp.,55,356,16,8
Polycarbonate,Halomonas titanicae,18,322,11,9
Nylon,Ochrobactrum sp.,56,168,38,5
Polyvinyl Chloride,Thermobifida fusca,43,166,23,8
Polyurethane,Exiguobacterium sp.,97,85,14,5
Polystyrene,Bacillus subtilis,34,137,27,6
Polycarbonate,Streptomyces coelicolor,0,189,20,7
Nylon,Pseudomonas aeruginosa,51,2,19,5
Polypropylene,Streptomyces coelicolor,84,106,20,7
Polyvinyl Chloride,Ochrobactrum sp.,92,364,36,5
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,69,72,11,6
Nylon,Ideonella sakaiensis,36,126,24,6
Polyurethane,Ideonella sakaiensis,64,170,16,8
Nylon,Bacillus alcalophilus,50,205,18,6
Polystyrene,Ideonella sakaiensis,0,313,14,7
Nylon,Ideonella sakaiensis,90,337,16,6
Polyvinyl Chloride,Streptomyces coelicolor,20,195,29,5
Polycarbonate,Bacillus subtilis,52,158,11,6
Nylon,Exiguobacterium sp.,15,141,12,7
Polyurethane,Bacillus alcalophilus,60,275,11,5
Polyethylene,Pseudomonas aeruginosa,53,7,30,8
Polycarbonate,Aspergillus niger,39,54,31,8
Polypropylene,Alcanivorax borkumensis,25,104,40,8
Polyethylene Terephthalate (PET),Bacillus alcalophilus,79,342,40,5
Nylon,Citrobacter koseri,91,338,32,8
Polyurethane,Acidithiobacillus ferrooxidans,64,61,28,6
Polycarbonate,Exiguobacterium sp.,99,87,13,5
Polyurethane,Acidithiobacillus ferrooxidans,73,258,33,5
Polypropylene,Bacillus alcalophilus,63,178,29,5
Polyvinyl Chloride,Bacillus alcalophilus,42,242,16,9
Polyurethane,Citrobacter koseri,16,203,37,7
Polycarbonate,Ideonella sakaiensis,58,31,31,9
Polyurethane,Pseudomonas aeruginosa,22,289,16,9
Polyurethane,Thermobifida fusca,6,80,26,9
Polyurethane,Thermobifida fusca,43,11,28,7
Polystyrene,Acidithiobacillus ferrooxidans,52,254,31,9
Polystyrene,Bacillus alcalophilus,70,287,25,8
Polyvinyl Chloride,Alcanivorax borkumensis,78,176,12,5
Nylon,Streptomyces coelicolor,33,126,24,5
Polyurethane,Pseudomonas aeruginosa,45,47,23,6
Polypropylene,Alcanivorax borkumensis,67,206,24,8
Nylon,Ochrobactrum sp.,77,107,23,7
Polypropylene,Pseudomonas aeruginosa,77,275,16,5
Nylon,Ochrobactrum sp.,15,337,34,9
Polyvinyl Chloride,Alcanivorax borkumensis,70,123,12,6
Polyurethane,Bacillus subtilis,95,134,39,6
Polyurethane,Exiguobacterium sp.,18,107,26,5
Polyethylene Terephthalate (PET),Ideonella sakaiensis,1,305,19,8
Polypropylene,Alcanivorax borkumensis,9,329,24,6
Nylon,Sulfolobus acidocaldarius,49,50,38,5
Nylon,Alcanivorax borkumensis,80,337,15,8
Polyethylene,Aspergillus niger,100,95,37,5
Polyethylene,Aspergillus niger,11,268,26,5
Polystyrene,Fusarium solani,69,23,26,8
Polyethylene Terephthalate (PET),Ochrobactrum sp.,21,54,23,8
Polycarbonate,Sulfolobus acidocaldarius,31,254,33,8
Polyethylene,Ideonella sakaiensis,83,235,34,5
Polycarbonate,Sulfolobus acidocaldarius,0,59,27,6
Polystyrene,Streptomyces coelicolor,53,164,34,7
Polystyrene,Sulfolobus acidocaldarius,57,259,14,7
Polystyrene,Streptomyces coelicolor,69,314,38,5
Polypropylene,Fusarium solani,82,216,17,5
Polypropylene,Fusarium solani,17,183,16,6
Polyvinyl Chloride,Exiguobacterium sp.,5,57,32,8
Polyvinyl Chloride,Thermobifida fusca,44,145,13,5
Polystyrene,Aspergillus niger,96,90,27,9
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,22,311,14,8
Nylon,Alcanivorax borkumensis,22,45,25,5
Polypropylene,Ochrobactrum sp.,25,257,23,9
Polyethylene Terephthalate (PET),Citrobacter koseri,76,21,36,6
Polyurethane,Citrobacter koseri,6,21,36,9
Polypropylene,Halomonas titanicae,78,52,28,5
Polypropylene,Pseudomonas aeruginosa,43,338,40,7
Polyvinyl Chloride,Exiguobacterium sp.,26,171,23,5
Nylon,Halomonas titanicae,25,67,18,7
Nylon,Halomonas titanicae,96,113,15,6
Polyethylene,Bacillus alcalophilus,78,300,26,6
Polycarbonate,Ochrobactrum sp.,35,160,28,8
Polycarbonate,Bacillus alcalophilus,54,266,21,8
Polycarbonate,Acidithiobacillus ferrooxidans,63,320,13,7
Polycarbonate,Ochrobactrum sp.,90,232,25,7
Polyurethane,Halomonas titanicae,56,325,34,6
Polyurethane,Sulfolobus acidocaldarius,68,68,20,9
Polypropylene,Pseudomonas aeruginosa,60,28,31,7
Polystyrene,Thermobifida fusca,1,116,13,7
Polyvinyl Chloride,Exiguobacterium sp.,54,51,26,9
Polyvinyl Chloride,Ochrobactrum sp.,96,181,17,8
Polycarbonate,Thermobifida fusca,79,260,23,8
Polypropylene,Halomonas titanicae,86,79,36,7
Polyethylene,Ideonella sakaiensis,37,273,11,8
Polyethylene Terephthalate (PET),Bacillus subtilis,79,108,20,8
Polystyrene,Alcanivorax borkumensis,77,74,40,8
Polypropylene,Pseudomonas aeruginosa,28,175,20,6
Polystyrene,Bacillus alcalophilus,25,184,33,5
Polystyrene,Acidithiobacillus ferrooxidans,34,23,31,7
Polystyrene,Alcanivorax borkumensis,78,274,33,7
Polypropylene,Thermobifida fusca,66,129,15,6
Polycarbonate,Ochrobactrum sp.,86,291,30,5
Polyvinyl Chloride,Bacillus alcalophilus,28,320,30,5
Polyvinyl Chloride,Bacillus alcalophilus,33,186,23,6
Polycarbonate,Pseudomonas aeruginosa,96,59,39,9
Polystyrene,Bacillus alcalophilus,40,1,19,9
Polyethylene Terephthalate (PET),Thermobifida fusca,40,131,35,5
Nylon,Bacillus subtilis,22,67,36,9
Polypropylene,Fusarium solani,70,293,17,9
Nylon,Acidithiobacillus ferrooxidans,2,285,16,9
Polyethylene,Aspergillus niger,57,89,17,5
Polycarbonate,Thermobifida fusca,31,100,37,9
Polyethylene Terephthalate (PET),Fusarium solani,30,189,17,7
Polypropylene,Thermobifida fusca,81,346,32,5
Polycarbonate,Aspergillus niger,42,241,11,6
Polystyrene,Citrobacter koseri,6,270,36,9
Polyvinyl Chloride,Ideonella sakaiensis,0,219,40,8
Nylon,Citrobacter koseri,60,176,25,5
Polyurethane,Bacillus alcalophilus,13,341,18,6
Polyurethane,Exiguobacterium sp.,51,233,22,7
Polyethylene Terephthalate (PET),Exiguobacterium sp.,95,151,32,6
Polystyrene,Aspergillus niger,5,277,21,9
Polyethylene,Alcanivorax borkumensis,9,229,36,8
Nylon,Pseudomonas aeruginosa,70,171,40,9
Polystyrene,Bacillus alcalophilus,89,223,31,6
Nylon,Pseudomonas aeruginosa,97,213,34,5
Polyethylene Terephthalate (PET),Fusarium solani,29,282,38,8
Polyethylene Terephthalate (PET),Exiguobacterium sp.,99,41,26,8
Polyethylene,Sulfolobus acidocaldarius,20,122,36,6
Polyurethane,Acidithiobacillus ferrooxidans,59,227,11,9
Polystyrene,Fusarium solani,80,294,22,6
Polypropylene,Ideonella sakaiensis,96,88,10,8
Polyurethane,Acidithiobacillus ferrooxidans,73,267,35,6
Polystyrene,Bacillus subtilis,62,29,37,8
Polyurethane,Fusarium solani,41,247,28,9
Polypropylene,Aspergillus niger,50,316,20,5
Polyvinyl Chloride,Bacillus subtilis,63,244,14,5
Polyvinyl Chloride,Streptomyces coelicolor,75,61,10,6
Polyethylene,Fusarium solani,55,147,29,8
Polyvinyl Chloride,Bacillus subtilis,79,174,39,5
Polyvinyl Chloride,Bacillus alcalophilus,40,278,22,8
Polycarbonate,Acidithiobacillus ferrooxidans,31,334,17,9
Nylon,Halomonas titanicae,14,142,15,6
Polycarbonate,Halomonas titanicae,61,44,38,8
Polycarbonate,Bacillus alcalophilus,26,144,26,6
Polyethylene,Thermobifida fusca,27,353,21,8
Polycarbonate,Streptomyces coelicolor,80,333,10,8
Polyvinyl Chloride,Ideonella sakaiensis,63,55,12,9
Polypropylene,Streptomyces coelicolor,58,307,23,6
Polyethylene,Aspergillus niger,57,358,35,7
Polyethylene,Exiguobacterium sp.,1,161,40,8
Polyethylene Terephthalate (PET),Pseudomonas aeruginosa,35,285,17,8
Polyethylene,Acidithiobacillus ferrooxidans,70,325,20,5
Polyethylene Terephthalate (PET),Streptomyces coelicolor,12,198,36,6
Polyethylene,Sulfolobus acidocaldarius,14,159,23,7
Nylon,Aspergillus niger,88,80,17,9
Polyvinyl Chloride,Citrobacter koseri,86,31,38,7
Polyethylene,Alcanivorax borkumensis,59,112,12,9
Polyvinyl Chloride,Citrobacter koseri,21,46,16,7
Polyvinyl Chloride,Ideonella sakaiensis,62,353,37,7
Polyurethane,Aspergillus niger,89,205,28,6
Polyethylene,Acidithiobacillus ferrooxidans,96,52,13,5
Polystyrene,Bacillus subtilis,74,138,34,7
Polyurethane,Fusarium solani,73,74,25,8
Polystyrene,Pseudomonas aeruginosa,24,41,22,8
Polyvinyl Chloride,Alcanivorax borkumensis,100,77,29,8
Polyvinyl Chloride,Citrobacter koseri,47,187,28,5
Polyurethane,Thermobifida fusca,42,52,14,7
Polyurethane,Alcanivorax borkumensis,37,87,32,9
Polystyrene,Sulfolobus acidocaldarius,40,109,14,9
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,44,225,29,6
Polystyrene,Bacillus subtilis,87,248,33,5
Polyurethane,Ideonella sakaiensis,39,69,13,7
Polypropylene,Sulfolobus acidocaldarius,96,120,11,8
Polyurethane,Aspergillus niger,16,67,35,5
Polypropylene,Pseudomonas aeruginosa,87,61,22,5
Nylon,Acidithiobacillus ferrooxidans,100,327,39,7
Polyurethane,Bacillus subtilis,56,191,25,6
Nylon,Aspergillus niger,1,189,31,6
Polyethylene Terephthalate (PET),Halomonas titanicae,95,151,11,6
Polystyrene,Thermobifida fusca,61,286,28,8
Polypropylene,Fusarium solani,87,96,26,8
Polystyrene,Ochrobactrum sp.,8,312,14,7
Nylon,Fusarium solani,67,309,34,6
Polypropylene,Sulfolobus acidocaldarius,80,263,27,7
Polystyrene,Halomonas titanicae,16,97,37,6
Polyurethane,Streptomyces coelicolor,49,113,32,5
Polyvinyl Chloride,Streptomyces coelicolor,93,125,30,9
Nylon,Acidithiobacillus ferrooxidans,39,132,27,9
Polystyrene,Sulfolobus acidocaldarius,57,121,17,6
Nylon,Citrobacter koseri,74,197,36,7
Polycarbonate,Aspergillus niger,84,294,24,8
Nylon,Sulfolobus acidocaldarius,20,122,22,6
Polypropylene,Exiguobacterium sp.,17,282,22,6
Polycarbonate,Alcanivorax borkumensis,54,260,25,8
Polyethylene,Acidithiobacillus ferrooxidans,28,39,31,6
Polypropylene,Fusarium solani,23,54,29,5
Polyvinyl Chloride,Streptomyces coelicolor,73,161,22,8
Polycarbonate,Thermobifida fusca,16,289,29,5
Polyethylene,Bacillus alcalophilus,17,200,11,9
Polyurethane,Ochrobactrum sp.,41,276,12,8
Nylon,Streptomyces coelicolor,83,16,24,8
Polystyrene,Acidithiobacillus ferrooxidans,100,173,32,7
Polyethylene Terephthalate (PET),Fusarium solani,44,248,28,7
Nylon,Acidithiobacillus ferrooxidans,81,218,22,8
Polyethylene,Alcanivorax borkumensis,16,87,14,9
Nylon,Fusarium solani,72,82,35,6
Polyvinyl Chloride,Ideonella sakaiensis,13,62,31,7
Polyurethane,Bacillus alcalophilus,48,287,15,9
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,28,42,23,9
Polycarbonate,Ideonella sakaiensis,94,12,13,7
Polycarbonate,Halomonas titanicae,3,321,31,6
Polycarbonate,Thermobifida fusca,81,234,28,7
Polyethylene,Bacillus alcalophilus,19,329,32,9
Polypropylene,Fusarium solani,46,131,16,5
Polypropylene,Fusarium solani,8,115,13,7
Polystyrene,Exiguobacterium sp.,76,218,11,9
Polyethylene Terephthalate (PET),Bacillus subtilis,78,137,36,7
Polycarbonate,Exiguobacterium sp.,26,106,16,9
Polypropylene,Pseudomonas aeruginosa,14,179,12,6
Polyethylene,Exiguobacterium sp.,91,16,24,9
Polystyrene,Aspergillus niger,100,242,10,8
Polyurethane,Halomonas titanicae,18,334,11,5
Polystyrene,Ideonella sakaiensis,89,226,19,9
Polypropylene,Alcanivorax borkumensis,51,242,25,7
Polyvinyl Chloride,Ideonella sakaiensis,25,141,34,7
Polyethylene,Ideonella sakaiensis,88,199,37,9
Polyvinyl Chloride,Bacillus alcalophilus,25,112,24,8
Polycarbonate,Fusarium solani,25,127,33,9
Polyvinyl Chloride,Pseudomonas aeruginosa,45,21,24,6
Polycarbonate,Pseudomonas aeruginosa,91,147,40,8
Polycarbonate,Alcanivorax borkumensis,48,89,23,9
Polypropylene,Halomonas titanicae,81,303,31,5
Polyvinyl Chloride,Bacillus alcalophilus,95,203,23,8
Polycarbonate,Streptomyces coelicolor,52,85,15,9
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,2,167,23,5
Polyurethane,Exiguobacterium sp.,65,72,26,9
Polystyrene,Acidithiobacillus ferrooxidans,96,298,27,6
Polystyrene,Acidithiobacillus ferrooxidans,41,9,29,7
Polypropylene,Sulfolobus acidocaldarius,18,281,28,9
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,16,258,39,8
Polyvinyl Chloride,Pseudomonas aeruginosa,32,275,26,9
Polycarbonate,Exiguobacterium sp.,75,238,25,9
Polyethylene,Exiguobacterium sp.,48,20,17,9
Nylon,Aspergillus niger,55,233,16,9
Polycarbonate,Halomonas titanicae,62,221,29,8
Polyurethane,Sulfolobus acidocaldarius,2,326,37,8
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,48,17,21,9
Polystyrene,Bacillus subtilis,54,89,18,7
Polycarbonate,Streptomyces coelicolor,25,196,36,9
Nylon,Ideonella sakaiensis,98,350,23,8
Nylon,Fusarium solani,71,84,29,6
Polycarbonate,Aspergillus niger,51,87,10,9
Polypropylene,Exiguobacterium sp.,99,307,40,9
Polystyrene,Exiguobacterium sp.,6,338,19,9
Polypropylene,Citrobacter koseri,45,154,40,9
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,45,228,26,5
Nylon,Acidithiobacillus ferrooxidans,99,264,26,9
Nylon,Thermobifida fusca,15,223,26,8
Polyurethane,Sulfolobus acidocaldarius,23,121,13,8
Polyethylene Terephthalate (PET),Citrobacter koseri,60,173,26,5
Nylon,Ochrobactrum sp.,53,4,27,9
Polyethylene Terephthalate (PET),Ideonella sakaiensis,61,342,29,7
Polystyrene,Sulfolobus acidocaldarius,0,128,32,9
Polyvinyl Chloride,Exiguobacterium sp.,48,110,11,8
Nylon,Pseudomonas aeruginosa,24,355,17,6
Polyurethane,Bacillus alcalophilus,9,37,22,6
Polystyrene,Exiguobacterium sp.,79,71,32,7
Polycarbonate,Aspergillus niger,15,289,34,9
Polyethylene Terephthalate (PET),Halomonas titanicae,57,31,39,5
Polycarbonate,Ochrobactrum sp.,71,268,31,9
Polypropylene,Citrobacter koseri,28,11,29,7
Polystyrene,Streptomyces coelicolor,91,344,31,7
Polycarbonate,Fusarium solani,5,328,24,7
Polyethylene,Streptomyces coelicolor,15,32,29,6
Polyethylene,Thermobifida fusca,19,57,32,9
Nylon,Exiguobacterium sp.,79,166,18,9
Polyethylene Terephthalate (PET),Aspergillus niger,70,188,12,5
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,77,342,12,7
Polystyrene,Exiguobacterium sp.,42,19,11,7
Nylon,Halomonas titanicae,25,116,10,8
Polyurethane,Pseudomonas aeruginosa,89,184,23,8
Polypropylene,Ideonella sakaiensis,77,270,26,6
Polyethylene Terephthalate (PET),Bacillus subtilis,70,33,22,9
Polystyrene,Fusarium solani,32,10,28,5
Polyethylene,Halomonas titanicae,25,80,39,5
Polystyrene,Citrobacter koseri,44,192,32,7
Polyvinyl Chloride,Acidithiobacillus ferrooxidans,83,320,24,5
Polyethylene,Citrobacter koseri,62,190,36,7
Polyvinyl Chloride,Exiguobacterium sp.,66,68,34,9
Polyurethane,Aspergillus niger,51,348,23,5
Polypropylene,Halomonas titanicae,67,125,11,7
Polyurethane,Alcanivorax borkumensis,25,336,16,9
Nylon,Acidithiobacillus ferrooxidans,74,59,26,9
Nylon,Thermobifida fusca,1,97,27,7
Polyurethane,Aspergillus niger,13,275,15,7
Polypropylene,Pseudomonas aeruginosa,29,149,36,6
Polyurethane,Acidithiobacillus ferrooxidans,48,278,30,9
Polypropylene,Citrobacter koseri,11,265,17,7
Polypropylene,Acidithiobacillus ferrooxidans,89,9,37,9
Polycarbonate,Bacillus subtilis,43,283,36,5
Polyethylene,Exiguobacterium sp.,32,273,11,8
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,12,301,10,8
Polypropylene,Citrobacter koseri,77,8,25,7
Polyvinyl Chloride,Bacillus subtilis,87,208,16,7
Polypropylene,Thermobifida fusca,97,125,31,9
Polypropylene,Ochrobactrum sp.,25,123,33,7
Polypropylene,Fusarium solani,20,33,20,9
Polycarbonate,Bacillus alcalophilus,27,1,40,7
Polyethylene,Sulfolobus acidocaldarius,47,204,24,9
Polycarbonate,Exiguobacterium sp.,99,6,22,7
Nylon,Alcanivorax borkumensis,39,297,39,6
Polycarbonate,Sulfolobus acidocaldarius,65,5,33,9
Polyvinyl Chloride,Fusarium solani,72,80,11,6
Polyvinyl Chloride,Aspergillus niger,86,274,23,6
Polycarbonate,Alcanivorax borkumensis,78,177,33,6
Polyethylene,Citrobacter koseri,76,338,15,6
Polyurethane,Alcanivorax borkumensis,22,321,18,5
Polyethylene Terephthalate (PET),Halomonas titanicae,80,339,37,8
Polyethylene,Fusarium solani,47,136,16,5
Polycarbonate,Ochrobactrum sp.,1,25,27,7
Polypropylene,Acidithiobacillus ferrooxidans,83,325,33,7
Polystyrene,Bacillus subtilis,19,183,18,8
Polyethylene Terephthalate (PET),Sulfolobus acidocaldarius,58,168,32,8
Polyethylene Terephthalate (PET),Halomonas titanicae,45,338,13,8
Polyvinyl Chloride,Ideonella sakaiensis,2,178,18,6
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,54,95,13,5
Polycarbonate,Halomonas titanicae,11,33,21,7
Polypropylene,Thermobifida fusca,39,111,13,5
Polypropylene,Streptomyces coelicolor,65,146,34,5
Nylon,Fusarium solani,99,231,39,5
Polypropylene,Bacillus subtilis,77,272,33,8
Polyethylene,Pseudomonas aeruginosa,15,336,29,8
Polypropylene,Aspergillus niger,82,38,23,7
Polyvinyl Chloride,Alcanivorax borkumensis,33,135,33,7
Polypropylene,Fusarium solani,43,334,40,7
Nylon,Pseudomonas aeruginosa,5,235,33,5
Polystyrene,Pseudomonas aeruginosa,76,319,16,8
Polycarbonate,Ideonella sakaiensis,63,345,35,6
Polyvinyl Chloride,Exiguobacterium sp.,99,160,22,5
Polyethylene,Bacillus subtilis,21,38,31,9
Polystyrene,Halomonas titanicae,17,150,17,5
Polyvinyl Chloride,Pseudomonas aeruginosa,11,308,32,8
Polyurethane,Streptomyces coelicolor,51,29,14,9
Polyethylene Terephthalate (PET),Ideonella sakaiensis,93,144,21,5
Polyurethane,Fusarium solani,50,76,22,8
Polypropylene,Ideonella sakaiensis,70,145,38,8
Polystyrene,Bacillus alcalophilus,95,229,29,6
Polypropylene,Bacillus alcalophilus,47,64,23,5
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,18,347,37,8
Polyvinyl Chloride,Ideonella sakaiensis,5,345,27,7
Polyethylene Terephthalate (PET),Thermobifida fusca,83,269,36,8
Nylon,Acidithiobacillus ferrooxidans,26,328,33,6
Polyethylene Terephthalate (PET),Alcanivorax borkumensis,52,184,34,8
Nylon,Acidithiobacillus ferrooxidans,100,261,29,5
Polyethylene Terephthalate (PET),Citrobacter koseri,47,268,13,5
Polycarbonate,Halomonas titanicae,6,169,30,9
Nylon,Citrobacter koseri,58,259,27,5
Polystyrene,Pseudomonas aeruginosa,68,227,16,9
Polypropylene,Fusarium solani,10,33,24,7
Polyethylene,Alcanivorax borkumensis,14,214,30,6
Polypropylene,Sulfolobus acidocaldarius,63,50,15,7
Polyurethane,Pseudomonas aeruginosa,2,210,25,9
Polypropylene,Halomonas titanicae,68,29,29,8
Polyvinyl Chloride,Bacillus alcalophilus,22,39,33,8
Polycarbonate,Bacillus subtilis,52,347,17,7
Polyethylene Terephthalate (PET),Thermobifida fusca,36,100,37,8
Polyurethane,Acidithiobacillus ferrooxidans,8,173,30,9
Polyvinyl Chloride,Exiguobacterium sp.,14,17,25,6
Polyvinyl Chloride,Fusarium solani,2,56,37,5
Nylon,Aspergillus niger,92,226,31,9
Polypropylene,Bacillus subtilis,69,46,25,9
Polystyrene,Citrobacter koseri,16,67,12,5
Polyethylene,Acidithiobacillus ferrooxidans,25,197,26,5
Polystyrene,Alcanivorax borkumensis,20,142,18,6
Polyurethane,Citrobacter koseri,71,323,34,6
Polycarbonate,Fusarium solani,20,23,12,6
Polystyrene,Citrobacter koseri,10,94,29,8
Polyethylene Terephthalate (PET),Fusarium solani,37,242,38,9
Polystyrene,Citrobacter koseri,71,237,16,5
Polyurethane,Bacillus subtilis,87,54,27,9
Polyethylene,Ideonella sakaiensis,34,138,21,9
Polystyrene,Streptomyces coelicolor,13,333,28,6
Polyethylene Terephthalate (PET),Bacillus subtilis,13,272,25,6
Nylon,Ideonella sakaiensis,9,41,31,9
Polycarbonate,Sulfolobus acidocaldarius,11,98,36,6
Polyurethane,Pseudomonas aeruginosa,37,183,33,8
Nylon,Pseudomonas aeruginosa,33,128,40,5
Nylon,Halomonas titanicae,40,229,26,9
Nylon,Thermobifida fusca,9,317,29,5
Polyvinyl Chloride,Thermobifida fusca,16,86,24,8
Polycarbonate,Acidithiobacillus ferrooxidans,16,256,10,6
Polyethylene,Bacillus subtilis,66,209,11,7
Polypropylene,Bacillus subtilis,61,215,17,8
Polycarbonate,Aspergillus niger,94,100,31,7
Polyvinyl Chloride,Aspergillus niger,0,49,34,5
Polypropylene,Thermobifida fusca,11,201,11,9
Polycarbonate,Halomonas titanicae,3,258,28,6
Nylon,Exiguobacterium sp.,41,178,18,8
Polyurethane,Pseudomonas aeruginosa,12,245,18,6
Polypropylene,Exiguobacterium sp.,97,123,22,7
Polyethylene Terephthalate (PET),Acidithiobacillus ferrooxidans,84,342,15,7
Polyethylene Terephthalate (PET),Fusarium solani,85,171,39,9
Polystyrene,Thermobifida fusca,3,333,24,7
Polypropylene,Thermobifida fusca,81,136,28,9
Polyurethane,Fusarium solani,68,59,30,8
Polyethylene,Ochrobactrum sp.,18,193,24,9
Polyvinyl Chloride,Bacillus alcalophilus,1,268,27,7
Nylon,Citrobacter koseri,11,260,16,5
Polystyrene,Aspergillus niger,80,95,35,9
Polyethylene Terephthalate (PET),Bacillus alcalophilus,73,125,20,6
Polyvinyl Chloride,Sulfolobus acidocaldarius,97,41,17,5
Polyvinyl Chloride,Halomonas titanicae,5,254,15,9
Nylon,Halomonas titanicae,7,7,17,6
Polyethylene,Fusarium solani,50,216,11,5
Polyethylene,Bacillus subtilis,10,69,28,9
Polypropylene,Pseudomonas aeruginosa,62,69,25,8
Polyethylene Terephthalate (PET),Exiguobacterium sp.,56,81,16,6
Polyethylene,Aspergillus niger,11,30,19,8
Polyurethane,Bacillus alcalophilus,72,73,21,7
Polyethylene,Exiguobacterium sp.,1,262,26,9
Polyvinyl Chloride,Bacillus subtilis,7,89,16,9
Nylon,Bacillus alcalophilus,10,208,31,6
Polyurethane,Thermobifida fusca,52,213,17,9
Polypropylene,Ideonella sakaiensis,99,322,16,7
Polyethylene Terephthalate (PET),Citrobacter koseri,9,266,13,9
Polypropylene,Sulfolobus acidocaldarius,84,293,12,5
Polyvinyl Chloride,Ochrobactrum sp.,83,207,28,8
